;name;salary_min;salary_max;currency;location;company;link;site
0;Junior Data Engineer (Python);150000.0;190000.0;руб.;Москва, Выставочная и еще 2 ;DataFork;https://hh.ru/vacancy/50637406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
1;Junior Python Developer;50000.0;;руб.;Санкт-Петербург;буше;https://hh.ru/vacancy/51028277?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
2;Junior-разработчик Python;30000.0;50000.0;руб.;Самара;ИП Малороссиянов Иван Александрович;https://hh.ru/vacancy/50790499?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
3;Junior Программист/Разработчик Python;60000.0;;руб.;Новосибирск;ООО Телеком-Инжиниринг;https://hh.ru/vacancy/50760223?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
4;Младший программист / Junior Developer in QA;80000.0;120000.0;руб.;Санкт-Петербург, Площадь Ленина;Veeam Software;https://hh.ru/vacancy/42015411?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
5;Python-разработчик (Django, DRF);60000.0;150000.0;руб.;Москва, Сухаревская;ООО Фабрика Решений;https://hh.ru/vacancy/39736489?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
6;Junior DevOps Engineer;80000.0;;руб.;Нижний Новгород, Горьковская;ООО Open Media;https://hh.ru/vacancy/49693440?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
7;Junior Python developer (в Сочи);65000.0;;руб.;Сочи;ООО Колл-Тулз;https://hh.ru/vacancy/47110879?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
8;Junior programmer (Python, C++);;;;Санкт-Петербург;Wargaming St. Petersburg (Lesta Studio);https://hh.ru/vacancy/49789002?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
9;Junior Gameplay Programmer (стажер);;;;Санкт-Петербург;Wargaming St. Petersburg (Lesta Studio);https://hh.ru/vacancy/51507534?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
10;Data Scientist / Machine Learning Engineer;50000.0;;руб.;Новосибирск;ООО EMBLE;https://hh.ru/vacancy/51604518?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
11;Python-разработчик;100000.0;150000.0;руб.;Зеленоград;ООО СтратоСфера;https://hh.ru/vacancy/51190526?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
12;Junior Python Developer (remote);;;;Санкт-Петербург;Big Data Solutions;https://hh.ru/vacancy/50673231?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
13;Младший инженер-тестировщик / QA Engineer (Junior);;;;Санкт-Петербург, Площадь Ленина;ООО Беамр имэджинг РУ;https://hh.ru/vacancy/51337786?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
14;Junior Backend Developer;;;;Пенза;ООО Смартвэй;https://hh.ru/vacancy/50866957?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
15;Разработчик ботов (Python & JS);;;;Москва, Панфиловская;Pyrus;https://hh.ru/vacancy/50362214?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
16;Product/Data Analyst (Junior);;1000.0;USD;Казань;KIVORK;https://hh.ru/vacancy/51710411?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
17;Junior DevOps инженер / Operations engineer;;;;Санкт-Петербург, Беговая;ООО Центр Разработки Сиэексайо Рус;https://hh.ru/vacancy/51640449?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
18;Product/Data Analyst (Junior);;1000.0;USD;Новосибирск;KIVORK;https://hh.ru/vacancy/51710408?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior;https://hh.ru
